LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,NAME_1,ID_1
33.7715,35.0412,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",4.09451693,Ind,2243.54980175436,1312.5,12056956.598638048,1808543.4897957072,3014239.149659512,7234173.959182829,34.830680642064465,18.48105465663748,1.6813292006134148,3.574411524190261,7.9122651271470525,CY000_3111,Achna,Ammochostos,1
33.7715,35.0412,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",23.397239600000002,Ind,2243.54980175436,1312.5,68896894.84936027,10334534.22740404,17224223.712340068,41338136.90961617,199.03246081179694,105.60602660935704,9.607595432076657,20.425208709658637,45.21294358369743,CY000_3111,Achna,Ammochostos,1
33.7715,35.0412,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",2.9246549500000003,Ind,2243.54980175436,1312.5,8612111.856170034,1291816.7784255052,2153027.9640425085,5167267.113702022,24.879057601474624,13.20075332616963,1.200949429009582,2.5531510887073297,5.6516179479621815,CY000_3111,Achna,Ammochostos,1
33.7715,35.0412,S+SL/LFM+CDM/H:1,"Steel, low rise",28.07668752,Ind,2243.54980175436,1250.0,78739308.39926888,11810896.259890333,19684827.09981722,47243585.03956133,238.83895297415637,126.72723193122845,11.529114518491989,24.510250451590363,54.255532300436926,CY000_3111,Achna,Ammochostos,1
33.7882,35.0412,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",2.9842854076000003,Ind,2243.54980175436,1312.5,8787703.226661725,1318155.4839992586,2196925.8066654312,5272621.9359970335,25.386313881205226,13.469901986425848,1.225435450516598,2.6052069962739832,5.766848144405477,CY000_3111,Achna,Ammochostos,1
33.7882,35.0412,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",17.053059472,Ind,2243.54980175436,1312.5,50215447.00949557,7532317.051424335,12553861.752373893,30129268.20569734,145.06465074974412,76.97086849386199,7.002488288666272,14.886897121565616,32.95341796803129,CY000_3111,Achna,Ammochostos,1
33.7882,35.0412,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",2.131632434,Ind,2243.54980175436,1312.5,6276930.876186945,941539.6314280418,1569232.7190467361,3766158.5257121683,18.13308134371801,9.621358561732748,0.8753110360832841,1.8608621401957024,4.119177246003911,CY000_3111,Achna,Ammochostos,1
33.7882,35.0412,S+SL/LFM+CDM/H:1,"Steel, low rise",20.4636713664,Ind,2243.54980175436,1250.0,57389082.29656635,8608362.344484953,14347270.574141588,34433449.37793981,174.07758089969295,92.3650421926344,8.402985946399529,17.864276545878738,39.54410156163755,CY000_3111,Achna,Ammochostos,1
33.938,35.0161999999999,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",3.4294405831000003,Ind,2243.54980175436,1312.5,10098533.47169935,1514780.0207549024,2524633.3679248374,6059120.08301961,73.4988379552522,38.998262922542956,3.5478991563569564,7.54263449806287,16.69626552565426,CY000_3103,Sotira Ammochostou,Ammochostos,1
33.938,35.0161999999999,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",19.596803332,Ind,2243.54980175436,1312.5,57705905.5525677,8655885.832885155,14426476.388141925,34623543.33154062,419.99335974429823,222.8472167002454,20.273709464896893,43.10076856035925,95.4072315751672,CY000_3103,Sotira Ammochostou,Ammochostos,1
